rank,cn_title,eng_title,more_title,country,eng_dir,score,num_of_reviews,year,img,url
118,爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台),U.S.,Richard Linklater,8.8,277052,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,https://movie.douban.com/subject/1291990/
119,菊次郎的夏天,菊次郎の夏,Kikujirô no natsu  /  菊次郎的夏天,Japan,Takeshi Kitano,8.8,273354,1999,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,https://movie.douban.com/subject/1293359/
120,小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台),Japan,Junichi Mori,9.0,189164,2015,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,https://movie.douban.com/subject/25814707/
121,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台),U.S.,David Yates,8.7,396327,2011,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/
122,上帝之城,Cidade de Deus,无主之城 (港)  /  无法无天 (台),Brazil,Kátia Lund / Fernando Meirelles,8.9,196849,2002,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,https://movie.douban.com/subject/1292208/
123,杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录,Korea,Joon-ho Bong,8.7,300673,2003,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,https://movie.douban.com/subject/1300299/
124,幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台),U.S.,Steven Spielberg,8.7,302899,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,https://movie.douban.com/subject/1292274/
125,7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物,Korea,Hwan-kyeong Lee,8.8,265521,2013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,https://movie.douban.com/subject/10777687/
126,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),U.S.,Christopher Nolan,8.7,404460,2012,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,https://movie.douban.com/subject/3395373/
127,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),Japan,Hiromasa Yonebayashi,8.7,299773,2010,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,https://movie.douban.com/subject/4202302/
