title,rank,director,year,url,img
STEAMBOAT BILL JR.,349,BUSTER KEATON,1928,http://mubi.com/cast/buster-keaton,https://assets.mubi.com/images/film/17513/image-w384.jpg?1545537602
INVESTIGATION OF A CITIZEN ABOVE SUSPICION,350,ELIO PETRI,1970,http://mubi.com/cast/elio-petri,https://assets.mubi.com/images/film/22832/image-w384.jpg?1546261208
BLACK PANTHERS,351,AGNÈS VARDA,1968,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/24356/image-w384.jpg?1554458412
REMINISCENCES OF A JOURNEY TO LITHUANIA,352,JONAS MEKAS,1972,http://mubi.com/cast/jonas-mekas,https://assets.mubi.com/images/film/3911/image-w384.jpg?1553112009
THE WORLD OF APU,353,SATYAJIT RAY,1959,http://mubi.com/cast/satyajit-ray,https://assets.mubi.com/images/film/846/image-w384.jpg?1555405251
MICROHABITAT,354,JEON GO-WOON,2017,http://mubi.com/cast/jeon-go-woon,https://assets.mubi.com/images/film/184205/image-w384.jpg?1560052941
INGLOURIOUS BASTERDS,355,QUENTIN TARANTINO,2009,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/1658/image-w384.jpg?1556252953
MEMENTO,356,CHRISTOPHER NOLAN,2000,http://mubi.com/cast/christopher-nolan,https://assets.mubi.com/images/film/142/image-w384.jpg?1544094102
PAN'S LABYRINTH,357,GUILLERMO DEL TORO,2006,http://mubi.com/cast/guillermo-del-toro,https://assets.mubi.com/images/film/485/image-w384.jpg?1554318002
BEING JOHN MALKOVICH,358,SPIKE JONZE,1999,http://mubi.com/cast/spike-jonze,https://assets.mubi.com/images/film/258/image-w384.jpg?1546264853
THE ROYAL TENENBAUMS,359,WES ANDERSON,2001,http://mubi.com/cast/wes-anderson,https://assets.mubi.com/images/film/230/image-w384.jpg?1546264807
THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,360,PETER JACKSON,2001,http://mubi.com/cast/peter-jackson,https://assets.mubi.com/images/film/1754/image-w384.jpg?1546264837
RUSHMORE,361,WES ANDERSON,1998,http://mubi.com/cast/wes-anderson,https://assets.mubi.com/images/film/333/image-w384.jpg?1558921665
THE PIANIST,362,ROMAN POLANSKI,2002,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/1738/image-w384.jpg?1546264807
ERASERHEAD,363,DAVID LYNCH,1977,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/196/image-w384.jpg?1560765149
DANCER IN THE DARK,364,LARS VON TRIER,2000,http://mubi.com/cast/lars-von-trier,https://assets.mubi.com/images/film/479/image-w384.jpg?1535029122
AMADEUS,365,MILOŠ FORMAN,1984,http://mubi.com/cast/milos-forman,https://assets.mubi.com/images/film/1700/image-w384.jpg?1510308539
FANTASTIC MR. FOX,366,WES ANDERSON,2009,http://mubi.com/cast/wes-anderson,https://assets.mubi.com/images/film/3518/image-w384.jpg?1546264843
BEFORE SUNRISE,367,RICHARD LINKLATER,1995,http://mubi.com/cast/richard-linklater,https://assets.mubi.com/images/film/194/image-w384.jpg?1544007608
LOST HIGHWAY,368,DAVID LYNCH,1997,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/101/image-w384.jpg?1554886803
DEAD MAN,369,JIM JARMUSCH,1995,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/306/image-w384.jpg?1546306529
NIGHT OF THE LIVING DEAD,370,GEORGE A. ROMERO,1968,http://mubi.com/cast/george-a-romero,https://assets.mubi.com/images/film/318/image-w384.jpg?1535029592
HEAT,371,MICHAEL MANN,1995,http://mubi.com/cast/michael-mann,https://assets.mubi.com/images/film/1715/image-w384.jpg?1546268411
THE DIVING BELL AND THE BUTTERFLY,372,JULIAN SCHNABEL,2007,http://mubi.com/cast/julian-schnabel,https://assets.mubi.com/images/film/389/image-w384.jpg?1528792883
DOGTOOTH,373,YORGOS LANTHIMOS,2009,http://mubi.com/cast/yorgos-lanthimos,https://assets.mubi.com/images/film/2740/image-w384.jpg?1557758511
HIDDEN,374,MICHAEL HANEKE,2005,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/136/image-w384.jpg?1558641682
BONNIE AND CLYDE,375,ARTHUR PENN,1967,http://mubi.com/cast/arthur-penn,https://assets.mubi.com/images/film/2003/image-w384.jpg?1546268411
YOUNG FRANKENSTEIN,376,MEL BROOKS,1974,http://mubi.com/cast/mel-brooks,https://assets.mubi.com/images/film/1573/image-w384.jpg?1546268411
THE PIANO TEACHER,377,MICHAEL HANEKE,2001,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/93/image-w384.jpg?1529288622
HANNAH AND HER SISTERS,378,WOODY ALLEN,1986,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/490/image-w384.jpg?1546268411
"4 MONTHS, 3 WEEKS AND 2 DAYS",379,CRISTIAN MUNGIU,2007,http://mubi.com/cast/cristian-mungiu,https://assets.mubi.com/images/film/116/image-w384.jpg?1559059202
HOLY MOTORS,380,LÉOS CARAX,2012,http://mubi.com/cast/leos-carax,https://assets.mubi.com/images/film/93545/image-w384.jpg?1541185387
THE LION KING,381,ROGER ALLERS,1994,http://mubi.com/cast/roger-allers,https://assets.mubi.com/images/film/24713/image-w384.jpg?1559347347
THE MALTESE FALCON,382,JOHN HUSTON,1941,http://mubi.com/cast/john-huston,https://assets.mubi.com/images/film/3328/image-w384.jpg?1546268411
CRIMES AND MISDEMEANORS,383,WOODY ALLEN,1989,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2171/image-w384.jpg?1535416502
A WOMAN IS A WOMAN,384,JEAN-LUC GODARD,1961,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/854/image-w384.jpg?1558095160
STRANGERS ON A TRAIN,385,ALFRED HITCHCOCK,1951,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/2878/image-w384.jpg?1546297208
TO KILL A MOCKINGBIRD,386,ROBERT MULLIGAN,1962,http://mubi.com/cast/robert-mulligan,https://assets.mubi.com/images/film/18913/image-w384.jpg?1544094101
3-IRON,387,KIM KI-DUK,2004,http://mubi.com/cast/kim-ki-duk,https://assets.mubi.com/images/film/137/image-w384.jpg?1544086892
THE KILLING,388,STANLEY KUBRICK,1956,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/447/image-w384.jpg?1546297210
BEING THERE,389,HAL ASHBY,1979,http://mubi.com/cast/hal-ashby,https://assets.mubi.com/images/film/851/image-w384.jpg?1546297229
EYES WITHOUT A FACE,390,GEORGES FRANJU,1960,http://mubi.com/cast/georges-franju,https://assets.mubi.com/images/film/950/image-w384.jpg?1546297208
FOR A FEW DOLLARS MORE,391,SERGIO LEONE,1965,http://mubi.com/cast/sergio-leone,https://assets.mubi.com/images/film/18303/image-w384.jpg?1546297207
COOL HAND LUKE,392,STUART ROSENBERG,1967,http://mubi.com/cast/stuart-rosenberg,https://assets.mubi.com/images/film/1991/image-w384.jpg?1546297210
THE TENANT,393,ROMAN POLANSKI,1976,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/21480/image-w384.jpg?1546297208
SHADOW OF A DOUBT,394,ALFRED HITCHCOCK,1943,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/2863/image-w384.jpg?1537211039
DAISIES,395,VĚRA CHYTILOVÁ,1966,http://mubi.com/cast/vera-chytilova,https://assets.mubi.com/images/film/3178/image-w384.jpg?1546300822
INCENDIES,396,DENIS VILLENEUVE,2010,http://mubi.com/cast/denis-villeneuve,https://assets.mubi.com/images/film/33111/image-w384.jpg?1546509631
NASHVILLE,397,ROBERT ALTMAN,1975,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/962/image-w384.jpg?1497437471
GREY GARDENS,398,ALBERT MAYSLES,1975,http://mubi.com/cast/albert-maysles,https://assets.mubi.com/images/film/664/image-w384.jpg?1481118697
FANTASIA,399,JAMES ALGAR,1940,http://mubi.com/cast/james-algar,https://assets.mubi.com/images/film/6585/image-w384.jpg?1445915126
LAURENCE ANYWAYS,400,XAVIER DOLAN,2012,http://mubi.com/cast/xavier-dolan,https://assets.mubi.com/images/film/95743/image-w384.jpg?1560830402
PERFECT BLUE,401,SATOSHI KON,1997,http://mubi.com/cast/satoshi-kon,https://assets.mubi.com/images/film/15920/image-w384.jpg?1559032159
VAMPYR,402,CARL THEODOR DREYER,1932,http://mubi.com/cast/carl-theodor-dreyer,https://assets.mubi.com/images/film/661/image-w384.jpg?1546300821
THE LONG GOODBYE,403,ROBERT ALTMAN,1973,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/2594/image-w384.jpg?1546304407
FIREWORKS,404,TAKESHI KITANO,1997,http://mubi.com/cast/takeshi-kitano,https://assets.mubi.com/images/film/927/image-w384.jpg?1546308045
STAGECOACH,405,JOHN FORD,1939,http://mubi.com/cast/john-ford,https://assets.mubi.com/images/film/980/image-w384.jpg?1546524051
DAS BOOT,406,WOLFGANG PETERSEN,1981,http://mubi.com/cast/wolfgang-petersen,https://assets.mubi.com/images/film/1772/image-w384.jpg?1546308045
THE HIDDEN FORTRESS,407,AKIRA KUROSAWA,1958,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/655/image-w384.jpg?1546308041
CRUMB,408,TERRY ZWIGOFF,1994,http://mubi.com/cast/terry-zwigoff,https://assets.mubi.com/images/film/2104/image-w384.jpg?1546434968
SANJURO,409,AKIRA KUROSAWA,1962,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/598/image-w384.jpg?1559550430
THE MARRIAGE OF MARIA BRAUN,410,RAINER WERNER FASSBINDER,1978,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/592/image-w384.jpg?1546308045
SULLIVAN’S TRAVELS,411,PRESTON STURGES,1941,http://mubi.com/cast/preston-sturges,https://assets.mubi.com/images/film/657/image-w384.jpg?1546462844
KAGEMUSHA,412,AKIRA KUROSAWA,1980,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/948/image-w384.jpg?1546308045
THE PHANTOM OF LIBERTY,413,LUIS BUÑUEL,1974,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/905/image-w384.jpg?1555084768
MAUVAIS SANG,414,LÉOS CARAX,1986,http://mubi.com/cast/leos-carax,https://assets.mubi.com/images/film/1741/image-w384.jpg?1561572652
THE THIN BLUE LINE,415,ERROL MORRIS,1988,http://mubi.com/cast/errol-morris,https://assets.mubi.com/images/film/2115/image-w384.jpg?1555740010
RIO BRAVO,416,HOWARD HAWKS,1959,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/2450/image-w384.jpg?1546462810
AFTER LIFE,417,HIROKAZU KORE-EDA,1998,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/21/image-w384.jpg?1546462810
KWAIDAN,418,MASAKI KOBAYASHI,1964,http://mubi.com/cast/masaki-kobayashi,https://assets.mubi.com/images/film/629/image-w384.jpg?1546462809
WINTER SLEEP,419,NURI BILGE CEYLAN,2014,http://mubi.com/cast/nuri-bilge-ceylan,https://assets.mubi.com/images/film/114071/image-w384.jpg?1545229528
BEAU TRAVAIL,420,CLAIRE DENIS,1999,http://mubi.com/cast/claire-denis,https://assets.mubi.com/images/film/840/image-w384.jpg?1560337461
ORPHEUS,421,JEAN COCTEAU,1950,http://mubi.com/cast/jean-cocteau,https://assets.mubi.com/images/film/610/image-w384.jpg?1546466420
IMITATION OF LIFE,422,DOUGLAS SIRK,1959,http://mubi.com/cast/douglas-sirk,https://assets.mubi.com/images/film/1104/image-w384.jpg?1546466444
SYNDROMES AND A CENTURY,423,APICHATPONG WEERASETHAKUL,2006,http://mubi.com/cast/apichatpong-weerasethakul,https://assets.mubi.com/images/film/435/image-w384.jpg?1546466453
HEARTS OF DARKNESS: A FILMMAKER'S APOCALYPSE,424,FAX BAHR,1991,http://mubi.com/cast/fax-bahr,https://assets.mubi.com/images/film/2269/image-w384.jpg?1546466444
THE GREEN RAY,425,ÉRIC ROHMER,1986,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/1500/image-w384.jpg?1557499010
THE FACE OF ANOTHER,426,HIROSHI TESHIGAHARA,1966,http://mubi.com/cast/hiroshi-teshigahara,https://assets.mubi.com/images/film/828/image-w384.jpg?1546466419
THE GOSPEL ACCORDING TO ST. MATTHEW,427,PIER PAOLO PASOLINI,1964,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/1106/image-w384.jpg?1550839689
SCARLET STREET,428,FRITZ LANG,1945,http://mubi.com/cast/fritz-lang,https://assets.mubi.com/images/film/2455/image-w384.jpg?1536539746
FOOD,429,JAN ŠVANKMAJER,1993,http://mubi.com/cast/jan-svankmajer,https://assets.mubi.com/images/film/1194/image-w384.jpg?1546466453
THE EARRINGS OF MADAME DE...,430,MAX OPHÜLS,1953,http://mubi.com/cast/max-ophuls,https://assets.mubi.com/images/film/571/image-w384.jpg?1546466418
PANDORA'S BOX,431,G.W. PABST,1929,http://mubi.com/cast/g-w-pabst,https://assets.mubi.com/images/film/362/image-w384.jpg?1554764422
TIME OF THE GYPSIES,432,EMIR KUSTURICA,1988,http://mubi.com/cast/emir-kusturica,https://assets.mubi.com/images/film/402/image-w384.jpg?1546466445
SHOPLIFTERS,433,HIROKAZU KORE-EDA,2018,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/200178/image-w384.jpg?1550973658
BURDEN OF DREAMS,434,LES BLANK,1982,http://mubi.com/cast/les-blank,https://assets.mubi.com/images/film/546/image-w384.jpg?1481118390
MY DARLING CLEMENTINE,435,JOHN FORD,1946,http://mubi.com/cast/john-ford,https://assets.mubi.com/images/film/2404/image-w384.jpg?1557813463
THE TALE OF THE PRINCESS KAGUYA,436,ISAO TAKAHATA,2013,http://mubi.com/cast/isao-takahata,https://assets.mubi.com/images/film/105139/image-w384.jpg?1547225428
A MATTER OF LIFE AND DEATH,437,MICHAEL POWELL,1946,http://mubi.com/cast/michael-powell,https://assets.mubi.com/images/film/697/image-w384.jpg?1557102820
KILLER OF SHEEP,438,CHARLES BURNETT,1978,http://mubi.com/cast/charles-burnett,https://assets.mubi.com/images/film/1299/image-w384.jpg?1546466447
SAMSARA,439,RON FRICKE,2011,http://mubi.com/cast/ron-fricke,https://assets.mubi.com/images/film/89107/image-w384.jpg?1445947065
TROUBLE IN PARADISE,440,ERNST LUBITSCH,1932,http://mubi.com/cast/ernst-lubitsch,https://assets.mubi.com/images/film/723/image-w384.jpg?1546470008
THE SERVANT,441,JOSEPH LOSEY,1963,http://mubi.com/cast/joseph-losey,https://assets.mubi.com/images/film/4342/image-w384.jpg?1541923202
NOSTALGIA FOR THE LIGHT,442,PATRICIO GUZMÁN,2010,http://mubi.com/cast/patricio-guzman,https://assets.mubi.com/images/film/26236/image-w384.jpg?1533779333
WHERE IS THE FRIEND'S HOME?,443,ABBAS KIAROSTAMI,1987,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/3062/image-w384.jpg?1546470040
THE LIFE AND DEATH OF COLONEL BLIMP,444,MICHAEL POWELL,1943,http://mubi.com/cast/michael-powell,https://assets.mubi.com/images/film/359/image-w384.jpg?1556792488
ON BODY AND SOUL,445,ILDIKÓ ENYEDI,2017,http://mubi.com/cast/ildiko-enyedi,https://assets.mubi.com/images/film/162643/image-w384.jpg?1555398013
LOVE STREAMS,446,JOHN CASSAVETES,1984,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/1382/image-w384.jpg?1546470041
SIGUR RÓS - HEIMA,447,DEAN DEBLOIS,2007,http://mubi.com/cast/dean-deblois,https://assets.mubi.com/images/film/22877/image-w384.jpg?1546470012
IN A YEAR WITH 13 MOONS,448,RAINER WERNER FASSBINDER,1978,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/1460/image-w384.jpg?1546470015
KINGS OF THE ROAD,449,WIM WENDERS,1976,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/996/image-w384.jpg?1551279612
THE SO-CALLED CARYATIDS,450,AGNÈS VARDA,1984,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/25430/image-w384.jpg?1555855210
DAGUERRÉOTYPES,451,AGNÈS VARDA,1976,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/25423/image-w384.jpg?1544007649
THE WOLF HOUSE,452,CRISTÓBAL LEÓN,2018,http://mubi.com/cast/cristobal-leon,https://assets.mubi.com/images/film/196988/image-w384.jpg?1541551084
SWAGGER,453,OLIVIER BABINET,2016,http://mubi.com/cast/olivier-babinet,https://assets.mubi.com/images/film/165878/image-w384.jpg?1535030169
LOST IN TRANSLATION,454,SOFIA COPPOLA,2003,http://mubi.com/cast/sofia-coppola,https://assets.mubi.com/images/film/289/image-w384.jpg?1545161311
KILL BILL: VOL. 1,455,QUENTIN TARANTINO,2003,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/1656/image-w384.jpg?1553779385
THE MATRIX,456,LILLY WACHOWSKI,1999,http://mubi.com/cast/lilly-wachowski,https://assets.mubi.com/images/film/3394/image-w384.jpg?1546470013
CHILDREN OF MEN,457,ALFONSO CUARÓN,2006,http://mubi.com/cast/alfonso-cuaron,https://assets.mubi.com/images/film/1833/image-w384.jpg?1550044824
MAGNOLIA,458,PAUL THOMAS ANDERSON,1999,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/261/image-w384.jpg?1546470015
THE LORD OF THE RINGS: THE RETURN OF THE KING,459,PETER JACKSON,2003,http://mubi.com/cast/peter-jackson,https://assets.mubi.com/images/film/2112/image-w384.jpg?1546470042
THE BIRDS,460,ALFRED HITCHCOCK,1963,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/396/image-w384.jpg?1546473620
BOOGIE NIGHTS,461,PAUL THOMAS ANDERSON,1997,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/836/image-w384.jpg?1546477215
THE WIZARD OF OZ,462,VICTOR FLEMING,1939,http://mubi.com/cast/victor-fleming,https://assets.mubi.com/images/film/1758/image-w384.jpg?1546473619
DRIVE,463,NICOLAS WINDING REFN,2011,http://mubi.com/cast/nicolas-winding-refn,https://assets.mubi.com/images/film/43689/image-w384.jpg?1551859233
AMORES PERROS,464,ALEJANDRO GONZÁLEZ IÑÁRRITU,2000,http://mubi.com/cast/alejandro-gonzalez-inarritu,https://assets.mubi.com/images/film/123/image-w384.jpg?1558741213
BARTON FINK,465,JOEL COEN,1991,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/981/image-w384.jpg?1546477248
BACK TO THE FUTURE,466,ROBERT ZEMECKIS,1985,http://mubi.com/cast/robert-zemeckis,https://assets.mubi.com/images/film/3362/image-w384.jpg?1546477211
BEFORE SUNSET,467,RICHARD LINKLATER,2004,http://mubi.com/cast/richard-linklater,https://assets.mubi.com/images/film/195/image-w384.jpg?1546477213
VIDEODROME,468,DAVID CRONENBERG,1983,http://mubi.com/cast/david-cronenberg,https://assets.mubi.com/images/film/240/image-w384.jpg?1534735817
ED WOOD,469,TIM BURTON,1994,http://mubi.com/cast/tim-burton,https://assets.mubi.com/images/film/3188/image-w384.jpg?1481126194
THIS IS SPINAL TAP,470,ROB REINER,1984,http://mubi.com/cast/rob-reiner,https://assets.mubi.com/images/film/317/image-w384.jpg?1535029818
BUFFALO '66,471,VINCENT GALLO,1998,http://mubi.com/cast/vincent-gallo,https://assets.mubi.com/images/film/293/image-w384.jpg?1548057611
SUSPIRIA,472,DARIO ARGENTO,1977,http://mubi.com/cast/dario-argento,https://assets.mubi.com/images/film/511/image-w384.jpg?1540598415
THE TRIPLETS OF BELLEVILLE,473,SYLVAIN CHOMET,2003,http://mubi.com/cast/sylvain-chomet,https://assets.mubi.com/images/film/480/image-w384.jpg?1546477211
WALTZ WITH BASHIR,474,ARI FOLMAN,2008,http://mubi.com/cast/ari-folman,https://assets.mubi.com/images/film/470/image-w384.jpg?1546480829
MAN ON WIRE,475,JAMES MARSH,2008,http://mubi.com/cast/james-marsh,https://assets.mubi.com/images/film/1688/image-w384.jpg?1543388414
BUTCH CASSIDY AND THE SUNDANCE KID,476,GEORGE ROY HILL,1969,http://mubi.com/cast/george-roy-hill,https://assets.mubi.com/images/film/1983/image-w384.jpg?1546506012
GRIZZLY MAN,477,WERNER HERZOG,2005,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/2267/image-w384.jpg?1560819660
MASCULIN FÉMININ,478,JEAN-LUC GODARD,1966,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/508/image-w384.jpg?1552999611
CASTLE IN THE SKY,479,HAYAO MIYAZAKI,1986,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/869/image-w384.jpg?1546509628
PAPRIKA,480,SATOSHI KON,2006,http://mubi.com/cast/satoshi-kon,https://assets.mubi.com/images/film/3118/image-w384.jpg?1522943847
PICNIC AT HANGING ROCK,481,PETER WEIR,1975,http://mubi.com/cast/peter-weir,https://assets.mubi.com/images/film/565/image-w384.jpg?1546509631
THE KING OF COMEDY,482,MARTIN SCORSESE,1982,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/1935/image-w384.jpg?1546509631
THE UMBRELLAS OF CHERBOURG,483,JACQUES DEMY,1964,http://mubi.com/cast/jacques-demy,https://assets.mubi.com/images/film/398/image-w384.jpg?1544153216
MIDNIGHT COWBOY,484,JOHN SCHLESINGER,1969,http://mubi.com/cast/john-schlesinger,https://assets.mubi.com/images/film/5703/image-w384.jpg?1546509626
SHADOWS,485,JOHN CASSAVETES,1958,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/500/image-w384.jpg?1546604783
MOTHER,486,BONG JOON-HO,2009,http://mubi.com/cast/bong-joon-ho,https://assets.mubi.com/images/film/2438/image-w384.jpg?1553954145
THE BRIDGE ON THE RIVER KWAI,487,DAVID LEAN,1957,http://mubi.com/cast/david-lean,https://assets.mubi.com/images/film/2885/image-w384.jpg?1557982048
L'AGE D'OR,488,LUIS BUÑUEL,1930,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/13/image-w384.jpg?1552914935
WITHNAIL & I,489,BRUCE ROBINSON,1987,http://mubi.com/cast/bruce-robinson,https://assets.mubi.com/images/film/658/image-w384.jpg?1546509630
DREAMS,490,AKIRA KUROSAWA,1990,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/2329/image-w384.jpg?1546509626
THE KILLING OF A CHINESE BOOKIE,491,JOHN CASSAVETES,1976,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/958/image-w384.jpg?1546524034
"OSLO, AUGUST 31ST",492,JOACHIM TRIER,2011,http://mubi.com/cast/joachim-trier,https://assets.mubi.com/images/film/43650/image-w384.jpg?1558103618
TEOREMA,493,PIER PAOLO PASOLINI,1968,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/1394/image-w384.jpg?1509703763
DAY FOR NIGHT,494,FRANÇOIS TRUFFAUT,1973,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/1873/image-w384.jpg?1546524032
WHAT EVER HAPPENED TO BABY JANE?,495,ROBERT ALDRICH,1962,http://mubi.com/cast/robert-aldrich,https://assets.mubi.com/images/film/11443/image-w384.jpg?1546524050
M. HULOT'S HOLIDAY,496,JACQUES TATI,1953,http://mubi.com/cast/jacques-tati,https://assets.mubi.com/images/film/360/image-w384.jpg?1545129370
WILD TALES,497,DAMIÁN SZIFRÓN,2014,http://mubi.com/cast/damian-szifron,https://assets.mubi.com/images/film/114084/image-w384.jpg?1557907324
SANTA SANGRE,498,ALEJANDRO JODOROWSKY,1989,http://mubi.com/cast/alejandro-jodorowsky,https://assets.mubi.com/images/film/1102/image-w384.jpg?1546873105
TROPICAL MALADY,499,APICHATPONG WEERASETHAKUL,2004,http://mubi.com/cast/apichatpong-weerasethakul,https://assets.mubi.com/images/film/434/image-w384.jpg?1548205214
ENCOUNTERS AT THE END OF THE WORLD,500,WERNER HERZOG,2007,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/1716/image-w384.jpg?1546524009
"YOU, THE LIVING",501,ROY ANDERSSON,2007,http://mubi.com/cast/roy-andersson,https://assets.mubi.com/images/film/3591/image-w384.jpg?1543377628
SECRETS & LIES,502,MIKE LEIGH,1996,http://mubi.com/cast/mike-leigh,https://assets.mubi.com/images/film/509/image-w384.jpg?1530240154
SEARCHING FOR SUGAR MAN,503,MALIK BENDJELLOUL,2012,http://mubi.com/cast/malik-bendjelloul,https://assets.mubi.com/images/film/94507/image-w384.jpg?1546524034
THE MANCHURIAN CANDIDATE,504,JOHN FRANKENHEIMER,1962,http://mubi.com/cast/john-frankenheimer,https://assets.mubi.com/images/film/2603/image-w384.jpg?1546524054
THE HUSTLER,505,ROBERT ROSSEN,1961,http://mubi.com/cast/robert-rossen,https://assets.mubi.com/images/film/2014/image-w384.jpg?1546527609
ANATOMY OF A MURDER,506,OTTO PREMINGER,1959,http://mubi.com/cast/otto-preminger,https://assets.mubi.com/images/film/706/image-w384.jpg?1546527647
SONGS FROM THE SECOND FLOOR,507,ROY ANDERSSON,2000,http://mubi.com/cast/roy-andersson,https://assets.mubi.com/images/film/1419/image-w384.jpg?1546527614
THE LADY EVE,508,PRESTON STURGES,1941,http://mubi.com/cast/preston-sturges,https://assets.mubi.com/images/film/639/image-w384.jpg?1537211038
TONI ERDMANN,509,MAREN ADE,2016,http://mubi.com/cast/maren-ade,https://assets.mubi.com/images/film/152996/image-w384.jpg?1560355229
ROSETTA,510,JEAN-PIERRE DARDENNE,1999,http://mubi.com/cast/jean-pierre-dardenne,https://assets.mubi.com/images/film/976/image-w384.jpg?1505436949
RATCATCHER,511,LYNNE RAMSAY,1999,http://mubi.com/cast/lynne-ramsay,https://assets.mubi.com/images/film/716/image-w384.jpg?1546527660
ALL THAT JAZZ,512,BOB FOSSE,1979,http://mubi.com/cast/bob-fosse,https://assets.mubi.com/images/film/2093/image-w384.jpg?1546527647
THE BIG HEAT,513,FRITZ LANG,1953,http://mubi.com/cast/fritz-lang,https://assets.mubi.com/images/film/2474/image-w384.jpg?1535069060
THE MAGNIFICENT AMBERSONS,514,ORSON WELLES,1942,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/1660/image-w384.jpg?1546527649
À NOS AMOURS,515,MAURICE PIALAT,1983,http://mubi.com/cast/maurice-pialat,https://assets.mubi.com/images/film/779/image-w384.jpg?1546527646
LOVERS OF THE ARCTIC CIRCLE,516,JULIO MEDEM,1998,http://mubi.com/cast/julio-medem,https://assets.mubi.com/images/film/2348/image-w384.jpg?1542772803
CLOSELY WATCHED TRAINS,517,JIŘÍ MENZEL,1966,http://mubi.com/cast/jiri-menzel,https://assets.mubi.com/images/film/212/image-w384.jpg?1547634693
MY DINNER WITH ANDRÉ,518,LOUIS MALLE,1981,http://mubi.com/cast/louis-malle,https://assets.mubi.com/images/film/1093/image-w384.jpg?1546527610
KISS ME DEADLY,519,ROBERT ALDRICH,1955,http://mubi.com/cast/robert-aldrich,https://assets.mubi.com/images/film/1549/image-w384.jpg?1546527668
L'ARGENT,520,ROBERT BRESSON,1983,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/2217/image-w384.jpg?1511475512
SIMON OF THE DESERT,521,LUIS BUÑUEL,1965,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/1077/image-w384.jpg?1557185814
THE INNOCENTS,522,JACK CLAYTON,1961,http://mubi.com/cast/jack-clayton,https://assets.mubi.com/images/film/18196/image-w384.jpg?1546527610
